customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,avg_monthly_spend,num_services,charge_per_service,high_monthly_charges,LTV,engagement_score,value_segment,heuristic_risk,churn_probability,churn_prediction,risk_level
6322-HRPFA,1,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,1,0,0,1,0,0,0,1,0,0,Loyal,60.61836734693878,4,14.9,0,2920.4,4,High Value,Medium Risk,0.13100564,0,Low Risk
6865-JZNKO,0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,1,0,0,1,0,0,1,0,0,0,Mature,51.02,3,18.433333333333334,0,1659.0,3,High Value,Medium Risk,0.13529895,0,Low Risk
6467-CHFZW,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,1,0,0,0,1,0,0,0,1,0,Mature,101.04574468085106,5,19.87,1,4669.45,5,High Value,High Risk,0.7124926,1,High Risk
8665-UTDHZ,1,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,1,0,0,1,0,0,0,0,1,0,New,30.2,1,30.2,0,30.2,1,Low Value,High Risk,0.60013473,1,Medium Risk
5248-YGIJN,1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,0,0,1,1,0,0,0,1,0,0,Loyal,88.46458333333334,8,11.28125,1,6498.0,8,High Value,Low Risk,0.0033150557,0,Low Risk
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,1,0,0,1,0,0,0,0,0,1,Developing,64.3,3,21.566666666666663,0,1099.9,3,Low Value,Medium Risk,0.2731233,1,Low Risk
3841-NFECX,0,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,0,0,1,0,1,0,0,1,0,0,Loyal,95.30915492957746,6,16.058333333333334,1,6840.849999999999,6,High Value,Low Risk,0.013357405,0,Low Risk
4929-XIHVW,1,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,1,0,0,0,1,0,0,1,0,0,New,90.825,4,23.875,1,191.0,4,Low Value,High Risk,0.7430184,1,High Risk
6827-IEAUQ,0,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,0,1,0,1,0,0,0,0,0,1,Mature,69.42407407407407,5,13.23,0,1786.0500000000002,5,High Value,Low Risk,0.0623506,0,Low Risk
7310-EGVHZ,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,1,0,0,0,0,1,1,0,0,0,New,20.2,1,20.2,0,20.2,1,Low Value,High Risk,0.44705614,1,Medium Risk
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,1,0,0,1,0,0,1,0,0,0,New,45.25,1,45.25,0,45.25,1,Low Value,High Risk,0.56426173,1,Medium Risk
6234-RAAPL,0,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,0,0,1,0,1,0,1,0,0,0,Loyal,100.71805555555557,6,16.650000000000002,1,7192.8,6,High Value,Low Risk,0.007688488,0,Low Risk
6047-YHPVI,1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,1,0,0,0,1,0,0,0,1,0,New,63.38,1,69.7,0,348.5,1,Low Value,High Risk,0.6957233,1,Medium Risk
6572-ADKRS,0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,1,0,0,0,1,0,0,1,0,0,Mature,77.13695652173914,2,37.4,1,3440.8,2,High Value,High Risk,0.16121794,0,Low Risk
5380-WJKOV,1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,1,0,0,0,1,0,0,0,1,0,Mature,104.38970588235294,6,17.724999999999998,1,3615.9,6,High Value,High Risk,0.514233,1,Medium Risk
8168-UQWWF,0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,1,0,0,0,1,0,1,0,0,0,New,100.4909090909091,5,19.57,1,1076.35,5,Low Value,High Risk,0.9484449,1,High Risk
8865-TNMNX,1,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,0,1,0,1,0,0,0,0,0,1,New,47.57,2,24.775,0,495.5,2,Low Value,Low Risk,0.045743417,0,Low Risk
9489-DEDVP,0,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,0,0,1,1,0,0,0,1,0,0,Loyal,69.605,5,13.84,0,4844.0,5,High Value,Low Risk,0.02541325,0,Low Risk
9867-JCZSP,0,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,0,1,0,0,0,1,0,0,0,1,Developing,24.602941176470587,1,20.75,0,352.75,1,Low Value,Low Risk,0.016793888,0,Low Risk
4671-VJLCL,0,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,0,0,1,1,0,0,0,1,0,0,Loyal,77.16587301587302,7,11.407142857142857,1,5030.549999999999,7,High Value,Low Risk,0.023189196,0,Low Risk
4080-IIARD,0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,1,0,0,1,0,0,0,0,1,0,Developing,75.49615384615385,6,12.7,1,990.6,6,Low Value,Medium Risk,0.18670425,0,Low Risk
3714-NTNFO,0,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,1,0,0,0,1,0,0,0,1,0,Loyal,79.72857142857143,3,28.166666666666668,1,4140.5,3,High Value,High Risk,0.6925591,1,Medium Risk
5948-UJZLF,1,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,1,0,0,1,0,0,0,0,0,1,New,48.5,2,24.625,0,98.5,2,Low Value,High Risk,0.39480567,1,Low Risk
7760-OYPDY,0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,1,0,0,0,1,0,0,0,1,0,New,72.075,2,40.325,1,161.3,2,Low Value,High Risk,0.8227151,1,High Risk
7639-LIAYI,1,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,0,0,1,1,0,0,0,1,0,0,Loyal,81.11153846153846,6,13.291666666666666,1,4147.0,6,High Value,Low Risk,0.042319596,0,Low Risk
2954-PIBKO,0,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,0,0,1,1,0,0,0,1,0,0,Loyal,61.6536231884058,5,12.830000000000002,0,4426.35,5,High Value,Low Risk,0.02597128,0,Low Risk
8012-SOUDQ,0,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,1,0,0,0,1,0,0,0,1,0,Mature,89.27325581395348,4,22.5625,1,3880.75,4,High Value,High Risk,0.4124273,1,Medium Risk
9420-LOJKX,0,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,1,0,0,0,1,0,0,1,0,0,Developing,95.09333333333332,5,19.82,1,1486.5,5,High Value,High Risk,0.74625945,1,High Risk
6575-SUVOI,0,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,1,0,0,1,0,0,0,1,0,0,Mature,70.10600000000001,5,13.9,0,1737.5,5,High Value,Medium Risk,0.11554382,0,Low Risk
7495-OOKFY,0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,1,0,0,0,1,0,0,1,0,0,New,79.1625,3,26.883333333333336,1,645.2,3,Low Value,High Risk,0.7679473,1,High Risk
4667-QONEA,0,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,0,1,0,1,0,0,0,1,0,0,Loyal,74.27250000000001,6,12.475,1,4491.0,6,High Value,Low Risk,0.054845672,0,Low Risk
1658-BYGOY,1,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,1,0,0,0,1,0,0,0,1,0,Developing,97.36388888888888,4,23.8625,1,1718.1,4,High Value,High Risk,0.76922023,1,High Risk
8769-KKTPH,0,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,0,1,0,0,1,0,0,1,0,0,Loyal,100.17777777777778,5,19.93,1,6277.950000000001,5,High Value,Low Risk,0.15775302,0,Low Risk
5067-XJQFU,1,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,0,1,0,0,1,0,0,0,1,0,Loyal,107.21742424242424,7,15.492857142857144,1,7157.7,7,High Value,Low Risk,0.15604112,0,Low Risk
3957-SQXML,0,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,0,0,1,0,0,1,0,1,0,0,Mature,26.302941176470583,2,12.475,0,848.3,2,Low Value,Low Risk,0.024209924,0,Low Risk
5954-BDFSG,0,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,0,0,1,0,1,0,0,1,0,0,Loyal,109.07916666666668,6,17.916666666666668,1,7740.0,6,High Value,Low Risk,0.08554149,0,Low Risk
0434-CSFON,0,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,1,0,0,0,1,0,0,0,1,0,Mature,100.15106382978723,5,20.1,1,4723.5,5,High Value,High Risk,0.62258977,1,Medium Risk
1215-FIGMP,1,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,1,0,0,0,1,0,1,0,0,0,Loyal,90.845,4,22.475,1,5394.0,4,High Value,High Risk,0.20621607,0,Low Risk
0526-SXDJP,1,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,0,0,1,1,0,0,1,0,0,0,Loyal,41.138888888888886,3,14.033333333333331,0,3031.2000000000003,3,High Value,Low Risk,0.020610517,0,Low Risk
0557-ASKVU,0,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,0,1,0,1,0,0,0,1,0,0,Developing,53.172222222222224,3,18.133333333333333,0,979.2,3,Low Value,Low Risk,0.099538155,0,Low Risk
5698-BQJOH,0,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,1,0,0,0,1,0,0,0,1,0,New,95.25,4,23.6,1,849.6,4,Low Value,High Risk,0.938627,1,High Risk
5122-CYFXA,0,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,1,0,0,1,0,0,0,0,1,0,New,81.36666666666666,5,15.06,1,225.9,5,Low Value,High Risk,0.27344596,1,Low Risk
8627-ZYGSZ,1,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,0,1,0,0,1,0,0,0,1,0,Mature,77.66702127659575,3,26.3,1,3708.3,3,High Value,Low Risk,0.1840209,0,Low Risk
3410-YOQBQ,0,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,0,0,1,1,0,0,0,0,0,1,Mature,80.55483870967741,6,13.2,1,2455.2000000000003,6,High Value,Low Risk,0.0499285,0,Low Risk
3170-NMYVV,0,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,0,0,1,0,0,1,1,0,0,0,Loyal,18.618,1,20.15,0,1007.5,1,Low Value,Low Risk,0.01668871,0,Low Risk
7410-OIEDU,1,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,1,0,0,0,1,0,0,0,0,1,New,88.735,3,26.616666666666664,1,798.5,3,Low Value,High Risk,0.28522748,1,Low Risk
2273-QCKXA,1,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,1,0,0,1,0,0,0,0,0,1,New,49.05,2,24.525,0,49.05,2,Low Value,High Risk,0.3697477,1,Low Risk
0731-EBJQB,0,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,0,1,0,0,0,1,0,0,1,0,Loyal,20.974038461538463,1,20.4,0,1060.8,1,Low Value,Low Risk,0.02129046,0,Low Risk
1891-QRQSA,1,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,0,0,1,0,1,0,1,0,0,0,Loyal,110.921875,7,15.94285714285714,1,7142.4,7,High Value,Low Risk,0.04941743,0,Low Risk
8028-PNXHQ,1,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,0,0,1,0,0,1,1,0,0,0,Loyal,22.97741935483871,2,12.125,0,1503.5,2,High Value,Low Risk,0.00910299,0,Low Risk
5630-AHZIL,0,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,1,0,0,1,0,0,1,0,0,0,New,59.13333333333333,4,16.125,0,193.5,4,Low Value,High Risk,0.12922554,0,Low Risk
2673-CXQEU,0,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,0,1,0,0,1,0,0,0,1,0,Loyal,109.63392857142856,7,15.785714285714286,1,6188.0,7,High Value,Low Risk,0.16629584,0,Low Risk
6416-JNVRK,0,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,0,1,0,1,0,0,0,1,0,0,Mature,58.45326086956521,2,27.825,0,2559.9,2,High Value,Low Risk,0.24237101,0,Low Risk
5590-ZSKRV,0,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,1,0,0,1,0,0,0,0,0,1,New,60.28125,3,18.216666666666665,0,437.2,3,Low Value,High Risk,0.13276753,0,Low Risk
0191-ZHSKZ,1,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,1,0,0,1,0,0,0,0,1,0,Mature,70.37666666666668,5,14.95,1,2242.5,5,High Value,Medium Risk,0.10374441,0,Low Risk
3887-PBQAO,0,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,0,1,0,0,0,1,0,1,0,0,Mature,27.035555555555558,2,12.95,0,1165.5,2,Low Value,Low Risk,0.057520326,0,Low Risk
5919-TMRGD,0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,1,0,0,0,1,0,0,0,1,0,New,79.35,2,39.675,1,79.35,2,Low Value,High Risk,0.955028,1,High Risk
8108-UXRQN,0,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,1,0,0,1,0,0,0,0,1,0,New,51.39545454545455,3,16.849999999999998,0,556.05,3,Low Value,High Risk,0.16891561,0,Low Risk
9191-MYQKX,0,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,1,0,0,0,1,0,1,0,0,0,New,70.98571428571428,2,37.575,1,526.0500000000001,2,Low Value,High Risk,0.49411163,1,Medium Risk
9919-YLNNG,0,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,1,0,0,0,1,0,1,0,0,0,Mature,103.03571428571428,6,17.3,1,4359.599999999999,6,High Value,High Risk,0.46799845,1,Medium Risk
0318-ZOPWS,0,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,0,0,1,0,0,1,1,0,0,0,Loyal,19.864285714285717,1,20.15,0,987.35,1,Low Value,Low Risk,0.022840997,0,Low Risk
4445-ZJNMU,1,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,1,0,0,0,1,0,0,1,0,0,New,102.08333333333331,5,19.86,1,893.6999999999999,5,Low Value,High Risk,0.8695475,1,High Risk
4808-YNLEU,0,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,0,1,0,1,0,0,1,0,0,0,Mature,63.29857142857142,3,20.716666666666665,0,2175.25,3,High Value,Low Risk,0.02786556,0,Low Risk
1862-QRWPE,0,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,0,0,1,0,0,1,1,0,0,0,Mature,22.02083333333333,1,20.65,0,991.2,1,Low Value,Low Risk,0.015984176,0,Low Risk
2796-NNUFI,0,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,0,0,1,0,0,1,0,0,0,1,Mature,20.15434782608696,1,19.95,0,917.7,1,Low Value,Low Risk,0.0073517747,0,Low Risk
3016-KSVCP,1,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,1,0,0,1,0,0,0,0,0,1,Mature,34.80172413793103,1,33.75,0,978.75,1,Low Value,Medium Risk,0.37756434,1,Low Risk
4767-HZZHQ,1,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,1,0,0,0,1,0,1,0,0,0,Mature,85.67333333333333,3,27.35,1,2461.5,3,High Value,High Risk,0.14898416,0,Low Risk
2424-WVHPL,1,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,1,0,0,0,1,0,0,0,1,0,New,74.7,2,37.35,1,74.7,2,Low Value,High Risk,0.60288244,1,Medium Risk
7233-PAHHL,1,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,0,0,1,1,0,0,0,0,0,1,Loyal,86.57954545454545,7,12.0,1,5544.0,7,High Value,Low Risk,0.018858634,0,Low Risk
6067-NGCEU,0,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,1,0,0,0,1,0,0,1,0,0,Loyal,109.33846153846154,7,15.864285714285714,1,7218.25,7,High Value,High Risk,0.1569224,0,Low Risk
9848-JQJTX,1,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,0,0,1,0,1,0,1,0,0,0,Loyal,103.59791666666666,6,16.816666666666666,1,7264.8,6,High Value,Low Risk,0.059923805,0,Low Risk
8637-XJIVR,0,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,1,0,0,0,1,0,0,0,1,0,New,77.27916666666667,3,26.316666666666663,1,947.4,3,Low Value,High Risk,0.71551096,1,High Risk
9803-FTJCG,1,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,0,1,0,1,0,0,0,1,0,0,Loyal,66.8830985915493,5,13.37,0,4746.349999999999,5,High Value,Low Risk,0.020411622,0,Low Risk
0278-YXOOG,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,1,0,0,0,0,1,0,0,0,1,New,22.77,1,21.05,0,105.25,1,Low Value,High Risk,0.21237746,0,Low Risk
3212-KXOCR,1,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,0,0,1,0,0,1,1,0,0,0,Loyal,21.29230769230769,1,21.0,0,1092.0,1,Low Value,Low Risk,0.036866695,0,Low Risk
4598-XLKNJ,0,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,1,0,0,0,1,0,0,0,1,0,Mature,100.58,5,19.7,1,2462.5,5,High Value,High Risk,0.8273458,1,High Risk
6380-ARCEH,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,1,0,0,0,0,1,0,0,0,1,New,20.2,1,20.2,0,20.2,1,Low Value,High Risk,0.7101651,1,High Risk
3679-XASPY,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,1,0,0,0,0,1,0,0,1,0,New,19.45,1,19.45,0,19.45,1,Low Value,High Risk,0.5216352,1,Medium Risk
7123-WQUHX,1,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,0,1,0,0,1,0,1,0,0,0,Mature,94.88421052631578,5,19.0,1,3610.0,5,High Value,Low Risk,0.09915973,0,Low Risk
5386-THSLQ,0,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,0,1,0,1,0,0,1,0,0,0,Loyal,45.86742424242424,3,15.183333333333332,0,3006.3,3,High Value,Low Risk,0.082287535,0,Low Risk
3192-NQECA,1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,0,0,1,0,1,0,1,0,0,0,Loyal,111.93897058823528,7,15.714285714285714,1,7480.0,7,High Value,Low Risk,0.5639658,1,Medium Risk
6180-YBIQI,1,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,1,0,0,1,0,0,0,0,0,1,New,20.04,0,24.3,0,121.5,0,Low Value,High Risk,0.517558,1,Medium Risk
6728-DKUCO,0,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,0,1,0,0,1,0,0,0,1,0,Loyal,101.43125,6,17.358333333333334,1,7498.8,6,High Value,Low Risk,0.045281626,0,Low Risk
9750-BOOHV,0,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,0,1,0,1,0,0,0,0,0,1,Mature,28.9890625,1,30.15,0,964.8,1,Low Value,Low Risk,0.04878214,0,Low Risk
8597-CWYHH,1,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,0,1,0,0,1,0,0,0,0,1,Mature,91.19302325581396,4,23.5875,1,4057.05,4,High Value,Low Risk,0.2621941,0,Low Risk
2848-YXSMW,1,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,0,0,1,0,0,1,0,1,0,0,Loyal,18.93402777777778,1,19.4,0,1396.8,1,High Value,Low Risk,0.003250223,0,Low Risk
0486-HECZI,1,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,1,0,0,0,1,0,0,0,1,0,Loyal,95.25272727272728,5,19.35,1,5321.25,5,High Value,High Risk,0.4309184,1,Medium Risk
4549-ZDQYY,0,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,0,1,0,1,0,0,0,1,0,0,Loyal,58.50480769230769,4,14.4875,0,3013.4,4,High Value,Low Risk,0.051148836,0,Low Risk
5712-AHQNN,0,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,1,0,0,0,1,0,0,0,1,0,Mature,91.95581395348836,4,22.9125,1,3940.95,4,High Value,High Risk,0.39141196,1,Low Risk
